No,ccodeiso,ccodecow,Country,Region,RegdumAfr,RegdumAsia,RegdumLat,Year,Yearsq,Wave,Interrupt,NumElect,PEI35,FRAC2015,PEI45,FRAC2016,PEI55,FRAC2017,PEI65,FRAC2018,PEI70,FRAC2019,Rulelaw,Fract,ContCorr,CPI,GINI,Press,Urban,Fuel,Trade,Wealth,Population,Colony,BritCol,Location,Elect,Govt,CivWar
45,LVA,367,Latvia,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,10,71.919998,.81333327,71.690002,.81333327,71.480003,.81333327,71.470001,.81333327,73.09471130371089,.81333327,.6559661618973079,.5867,-.25776842,42,34.200001,80.470001,68,1.3294696,118.36951,10.252806,14.471237,No,No,.63277698,Proportional,Parliamentary,No
46,LBN,660,Lebanon ,Asia,0,1,0,1992,3968064,4th Wave,No Coup,6,,.4979085,,.4979085,,.4979085,41.52,.4979085,41.829776763916,.4979085,-.5740387871077186,.1314,.78541976,72,31.799999,67.559998,88,-.65745795,62.949097,9.4771595,15.739602,Yes,No,.37222201,Majoritarian,Parliamentary,Yes
47,LSO,570,Lesotho,Africa,1,0,0,1993,3972049,4th Wave,Coup,7,62.889999,.73388481,62.880001,.68760377,62.119999,.68760377,62.099998,.68760377,62.0733795166016,.68760377,-.1249935242690538,.255,-.044986472,59,54.200001,70.260002,27,-2.4755895,123.6466,8.0780745,14.561313,Yes,Yes,.32555601,Majoritarian,Parliamentary,No
48,LTU,368,Lithuania,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,8,77.639999,.81793308,77.470001,.81793308,77.589996,.81793308,77.580002,.81793308,77.60561370849609,.81793308,.7196196647066819,.3223,-.37195656,41,37.400002,77.940002,67,2.6996262,161.95366,10.411891,14.841385,No,No,.60763502,Majoritarian,Presidential,No
49,MKD,343,Macedonia,Europe,0,0,0,1990,3960100,4th Wave,No Coup,9,48.119999,.65573782,47.889999,.65573782,47.73,.64761901,47.639999,.64761901,47.5283432006836,.64761901,-.319646991789341,.5023,.33109111,63,35.599998,68.339996,58,.52962613,133.23601,9.6355352,14.549299,No,No,.46666601,Proportional,Presidential,No
50,MDG,580,Madagascar,Africa,1,0,0,1983,3932289,4th Wave,Coup,8,39.720001,.85777003,39.490002,.85777003,39.830002,.85777003,39.779999,.85777003,42.1197395324707,.85777003,-.5786675395149934,.8791,.48957685,75,42.599998,72.239998,36,.5298804,76.674301,7.3988814,17.083647,Yes,No,.222222,Majoritarian,Presidential,No
51,MWI,553,Malawi,Africa,1,0,0,1994,3976036,4th Wave,No Coup,5,47.799999,.84898561,47.650002,.84898561,47.779999,.84898561,47.970001,.84898561,47.7534027099609,.84898561,-.2459809458569477,.6744,.56980109,68,44.700001,70.639999,17,-2.530864,65.329872,7.1767769,16.713812,Yes,Yes,.147778,Majoritarian,Presidential,No
52,MYS,820,Malaysia,Asia,0,1,0,1978,3912484,3rd Wave,No Coup,10,35.41,.48253229,35.48,.58721608,35.450001,.58721608,34.380001,.58721608,34.6378936767578,.58721608,.4555086117041738,.588,-.21677659,53,41,63.259998,75,2.7073338,132.25539,10.36402,17.266405,Yes,Yes,.025556,Proportional,Parliamentary,Yes
53,MLI,432,Mali,Africa,1,0,0,1992,3968064,4th Wave,Coup,5,52.389999,.77148229,52.450001,.77148229,52.529999,.77148229,52.650002,.77148229,42.7883453369141,.77148229,-.4229025350329099,.6906,.66738093,68,33,64.769997,41,-2.7504826,61.416798,7.7461147,16.76403,Yes,No,.188889,Majoritarian,Presidential,Yes
54,MUS,590,Mauritius,Asia,0,1,0,1976,3904576,3rd Wave,No Coup,11,64.290001,.4049446,64.129997,.4049446,64.160004,.4049446,64.150002,.4049446,64.2653045654297,.4049446,.931990529361524,.4634,-.35192004,49,35.799999,71.540001,41,.10152883,94.853477,10.073614,14.050822,Yes,Yes,.22411101,Majoritarian,Parliamentary,No
55,MEX,70,Mexico,Latin America,0,0,1,1976,3904576,4th Wave,No Coup,15,57.490002,.70296699,57.259998,.76124638,57.330002,.76124638,57.240002,.76124638,60.5915031433105,.76124638,-.4898694079173239,.5417999999999999,.4251118,72,43.400002,53.220001,80,1.8958714,80.322678,9.9019594,18.653305,Yes,No,.25555599,Majoritarian,Presidential,No
56,MDA,359,Moldova,Europe,0,0,0,1994,3976036,3rd Wave,No Coup,8,56.790001,.799604,57.049999,.799604,55.599998,.799604,55.59,.799604,55.6207504272461,.799604,-.3810289628607662,.5535,.72457999,67,25.9,68.790001,43,-3.0288568,86.689255,8.8957586,15.081298,No,No,.52228397,Proportional,Presidential,No
57,MNG,712,Mongolia,Asia,0,1,0,1990,3960100,4th Wave,No Coup,8,64.349998,.66245621,63.98,.66245621,64.18,.25754389,63.57,.25754389,63.6172065734863,.25754389,-.1734317164672048,.3682,.43817618,63,32.299999,70.489998,68,3.8580804,123.82664,9.527729,14.969308,No,No,.51111102,Majoritarian,Presidential,No
58,MNE,341,Montenegro,Europe,0,0,0,2006,4024036,4th Wave,No Coup,4,49.93,,51.400002,,51.060001,,51.619999,,51.59188,,-.0469639285001904,.5736,.18402532,55,31.9,67.260002,66,3.0352726,110.59837,9.8707027,13.341249,No,No,.47158399,Proportional,Presidential,No
59,MOZ,541,Mozambique,Africa,1,0,0,1994,3976036,4th Wave,No Coup,6,34.740002,.53902012,34.529999,.53902012,34.68,.53902012,34.830002,.53902012,34.7161979675293,.53902012,-.7103024234897212,.6932,.57129562,77,54,67.339996,35,3.8505936,117.26995,7.1913667,17.199764,Yes,No,.201667,Proportional,Presidential,Yes
60,NAM,565,Namibia,Africa,1,0,0,1989,3956121,4th Wave,No Coup,7,60.209999,.3547698,59.860001,.3547698,60.299999,.3547698,60.459999,.3547698,60.1275520324707,.3547698,.203278891215297,.6329,-.35897359,47,59.099998,81.050003,48,-.68593949,83.650856,9.317831,14.710886,Yes,Yes,.25077799,Proportional,Presidential,No
61,NPL,790,Nepal,Asia,0,1,0,1981,3924361,4th Wave,No Coup,9,53.450001,.76408952,53.630001,.76387298,53.200001,.76542711,56.48,.76542711,56.3272399902344,.76542711,-.6156022890078786,.6632,.69236428,69,32.799999,66.599998,19,-5.9285421,54.320751,8.0276232,17.150848,No,No,.311111,Majoritarian,Parliamentary,No
62,NIC,93,Nicaragua,Latin America,0,0,1,1984,3936256,4th Wave,No Coup,7,,.44644189,,.44644189,36.41,.38763741,36.25,.38763741,36.3338203430176,.38763741,-.7098068124369571,.4844,.72933346,75,46.200001,64.470001,58,-1.3863927,93.255234,8.6168146,15.681993,Yes,No,.144444,Proportional,Presidential,No
63,NER,436,Niger,Africa,1,0,0,1993,3972049,4th Wave,Coup,8,,.77828699,51.630001,.77828699,52.169998,.76442748,52.060001,.76442748,51.9515342712402,.76442748,-.6068443655967712,.6518,.7515614,66,34.299999,70.739998,16,2.8400781,49.587482,6.9551001,16.926487,Yes,No,.17777801,Majoritarian,Presidential,No
64,NGA,475,Nigeria,Africa,1,0,0,1979,3916441,4th Wave,No Coup,8,53.169998,.60275078,53.169998,.5032497,53.349998,.5032497,53.419998,.5032497,53.3007354736328,.5032497,-1.161563829371804,.8505,1.1593479,73,43,63.5,49,4.5627055,26.347599,8.6962233,19.092985,Yes,Yes,.111111,Majoritarian,Presidential,No
65,PAK,770,Pakistan,Asia,0,1,0,1977,3908529,4th Wave,Coup,10,49.810001,.72235721,49.790001,.72235721,49.720001,.72235721,49.689999,.72235721,47.0220375061035,.72235721,-.8215334289952329,.7098,.94719303,67,33.5,54.169998,36,.75816011,27.969624,8.6204529,19.173111,Yes,Yes,.33333299,Majoritarian,Parliamentary,Yes
66,PAN,95,Panama,Latin America,0,0,1,1978,3912484,3rd Wave,No Coup,8,60.98,.65311873,60.470001,.65311873,60.549999,.65311873,60.709999,.65311873,60.6154327392578,.65311873,-.0958902713303503,.5528,.3138684,63,49.900002,70.220001,67,-3.5136023,87.566711,10.146772,15.245073,Yes,No,.1,Majoritarian,Presidential,No
67,PNG,910,Papua New Guinea,Asia,0,1,0,1977,3908529,3rd Wave,No Coup,9,,,,,,,34.75,,34.1836738586426,,-.8567677328461095,.2718,.95774913,72,41.900002,75.300003,13,.51048017,131.08292,8.3660574,15.968007,Yes,No,.066666998,Majoritarian,Parliamentary,No
68,PRY,150,Paraguay,Latin America,0,0,1,1978,3912484,4th Wave,No Coup,10,55,.5830301,54.830002,.5830301,55.130001,.5830301,49.669998,.5830301,49.7535552978516,.5830301,-.8689032887157641,.1689,1.0580026,71,48.799999,67.599998,61,3.1507442,69.788353,9.5156803,15.755125,Yes,No,.25555599,Proportional,Presidential,No
69,PER,135,Peru,Latin America,0,0,1,1980,3920400,4th Wave,No Coup,9,,.75447232,61.799999,.75447232,62.389999,.63899821,62.27,.63899821,62.3707580566406,.63899821,-.5926845308981443,.6566,.33145711,65,43.299999,69.779999,78,2.247277,48.957428,9.5745287,17.28091,Yes,No,.111111,Proportional,Presidential,No
70,PHL,840,Philippines,Asia,0,1,0,1978,3912484,3rd Wave,No Coup,12,48.43,.83013272,51.650002,.83110249,51.419998,.81831819,51.400002,.81831819,51.4321823120117,.81831819,-.389811046029392,.2385,.56912547,64,40.099998,56.09,46,.4550148,76.058754,9.097765,18.485081,Yes,No,.144444,Majoritarian,Presidential,Yes
71,POL,290,Poland,Europe,0,0,0,1989,3956121,3rd Wave,No Coup,10,73.540001,.66774648,74.389999,.64448982,74.230003,.64448982,74.169998,.64448982,74.4302215576172,.64448982,.6485547203766672,.1183,-.52802229,40,30.799999,71.110001,60,.91496849,107.1989,10.384571,17.452532,No,No,.57777798,Proportional,Presidential,No
72,PRT,235,Portugal,Europe,0,0,0,1975,3900625,3rd Wave,No Coup,16,,.66193283,74.550003,.65357888,74.459999,.65357888,74.470001,.65357888,74.524299621582,.65357888,1.143588502156107,.0468,-1.0803258,36,35.5,87.370003,64,1.902774,87.020317,10.436032,16.145882,No,No,.436667,Proportional,Presidential,No
73,ROU,360,Romania,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,8,50.77,.75767553,50.720001,.75767553,55.52,.74907893,55.41,.74907893,55.3438339233398,.74907893,.0027587949053237,.3069,.24907357,53,35.900002,74.330002,54,1.3918338,86.494919,10.188495,16.784588,No,No,.51111102,Majoritarian,Presidential,No
74,RUS,365,Russia,Europe,0,0,0,1993,3972049,3rd Wave,No Coup,7,,.64419693,,.64419693,44.32,.3584998,47.060001,.3584998,47.2569198608398,.3584998,-.8511519745776528,.2452,.96344846,72,37.700001,49.689999,74,3.9515738,51.510456,10.209034,18.788639,No,No,.61946899,Majoritarian,Presidential,Yes
75,RWA,517,Rwanda,Africa,1,0,0,2003,4012009,3rd Wave,Coup,4,63.639999,.3824383,63.799999,.3824383,64.150002,.3824383,57.310001,.3824383,57.5391159057617,.3824383,-.5492681378596708,.3238,-.028338276,44,43.700001,47.57,17,-2.4145234,51.508121,7.7202487,16.325268,Yes,No,.022221999,Proportional,Presidential,No
76,SEN,433,Senegal,Africa,1,0,0,1978,3912484,4th Wave,No Coup,9,,.36463341,,.36463341,,.36463341,43.619999,.36463341,43.1632652282715,.36463341,-.1632662482161801,.6939,.20313181,55,40.299999,74.190002,46,2.9392836,57.935547,8.2363853,16.578955,Yes,No,.15555599,Majoritarian,Presidential,No
77,SRB,,Serbia,Europe,0,0,0,2007,4028049,4th Wave,No Coup,5,57.869999,,52.060001,,48.470001,,48.68,,48.7120628356934,,-.5794203646088901,.5736,.49710491,61,28.5,68.82,56,.96357751,110.19118,9.7070704,15.758858,No,No,.49763599,Proportional,Presidential,No
78,SVK,317,Slovakia,Europe,0,0,0,1990,3960100,3rd Wave,No Coup,9,74.790001,.6571812,74.610001,.6571812,74.489998,.84996122,74.470001,.84996122,74.4414749145508,.84996122,.4738041617368397,.2539,-.24583516,50,26.5,76.419998,54,1.3172827,192.34589,10.443754,15.510577,No,No,.53500003,Proportional,Presidential,No
79,SVN,349,Slovenia,Europe,0,0,0,1992,3968064,3rd Wave,No Coup,8,76.489998,.76754057,76.760002,.76754057,76.43,.76754057,76.849998,.76754057,77.4183044433594,.76754057,1.011815061694697,.2216,-.92374468,40,25.4,77.690002,54,1.6605918,160.93773,10.562932,14.541789,No,No,.51174402,Proportional,Presidential,No
80,ZAF,560,South Africa,Africa,1,0,0,1994,3976036,4th Wave,No Coup,6,62.77,,63.080002,,63.029999,,63.23,,63.2509574890137,,.1332158708552781,.7517,-.26124051,57,63,77.809998,65,2.5321305,59.770504,9.5223274,17.872147,Yes,Yes,.32222199,Proportional,Parliamentary,No
81,ESP,230,Spain,Europe,0,0,0,1977,3908529,3rd Wave,No Coup,14,,.61668438,68.93,.61668438,69.120003,.7243818,69.120003,.7243818,69.1831359863281,.7243818,1.157543834887053,.4165,-1.0690238,42,36.200001,78.010002,80,1.6293215,66.60247,10.617774,17.659763,No,No,.444444,Proportional,Parliamentary,No
82,TWN,713,Taiwan,Asia,0,1,0,1991,3964081,3rd Wave,No Coup,10,,.55704802,73.139999,.56435329,73.230003,.54551202,73.230003,.54551202,73.1341094970703,.54551202,.9649540342782673,.2744,-.71769345,37,33.700001,75.019997,77,1.410987,62.700001,10.829729,16.974464,No,No,.25888899,Majoritarian,Presidential,No
83,TJK,702,Tajikistan,Asia,0,1,0,1995,3980025,4th Wave,No Coup,5,35.52,.26523301,35.82,.3606151,35.419998,.3606151,35.049999,.3606151,35.2614822387695,.3606151,-1.238683443320425,.5107,1.2027171,75,34,45.98,27,2.6238594,56.642746,8.1443005,16.023876,No,No,.428444,Proportional,Presidential,No
84,TZA,510,Tanzania,Africa,1,0,0,1995,3980025,3rd Wave,No Coup,5,,.41194031,43.580002,.4743169,43.700001,.4743169,43.619999,.4743169,43.6406707763672,.4743169,-.379046157002449,.7353,.60212398,64,37.799999,63.720001,32,.57881474,32.238941,8.079319,17.846531,Yes,Yes,.066666998,Majoritarian,Presidential,No
85,THA,800,Thailand,Asia,0,1,0,1975,3900625,4th Wave,Coup,15,50.84,,50.75,,50.529999,,50.68,,50.761905670166,,.0429070592416744,.6338,.31952697,64,36.5,55.900002,48,1.3731617,123.30688,9.8531275,18.055809,No,No,.166667,Majoritarian,Parliamentary,Yes
86,TUN,616,Tunisia,Africa,1,0,0,1981,3924361,4th Wave,No Coup,10,67.589996,.7369805,67.300003,.7369805,67.68,.7369805,67.360001,.7369805,67.7021179199219,.7369805,-.056351023909979,.0394,.12668629,57,32.799999,70.389999,68,1.7861608,99.476616,9.4321642,16.263512,Yes,No,.37777799,Proportional,Presidential,Yes
88,UGA,500,Uganda,Africa,1,0,0,1980,3920400,3rd Wave,No Coup,6,,.54963279,,.54963279,37.200001,.50055653,37.470001,.50055653,37.3703231811523,.50055653,-.4434634776491868,.9302,.90822399,74,42.799999,60.580002,23,1.8988163,47.78669,7.6174092,17.570251,Yes,Yes,.011111,Majoritarian,Presidential,No
89,UKR,369,Ukraine,Europe,0,0,0,1994,3976036,3rd Wave,Coup,8,51.139999,.75006568,51.150002,.75006568,50.759998,.75006568,50.720001,.75006568,50.703914642334,.75006568,-.806252005853151,.4737,.97108316,68,25,67.540001,69,.37653106,99.018661,9.1305552,17.613749,No,No,.56055701,Majoritarian,Presidential,Yes
90,URY,165,Uruguay,Latin America,0,0,1,1984,3936256,3rd Wave,No Coup,8,75.209999,.6291486,75.25,.6291486,75.239998,.6291486,75.190002,.6291486,75.43845367431641,.6291486,.62102851114775,.2504,-1.1850449,30,39.5,83.940002,95,.70005399,39.992245,10.066057,15.053681,Yes,No,.366667,Proportional,Presidential,No
91,UZB,704,Uzbekistan,Asia,0,1,0,1994,3976036,3rd Wave,No Coup,6,,,39.259998,,38.439999,,38.509998,,38.4539413452148,,-1.278762033111171,.4125,1.1682009,77,35.299999,46.48,51,2.9907198,67.845619,8.8565645,17.310665,No,No,.45907399,Majoritarian,Presidential,No
92,ZMB,551,Zambia,Africa,1,0,0,1991,3964081,4th Wave,No Coup,6,43.630001,.66602319,43.759998,.66602319,44.509998,.60165417,44.490002,.60165417,44.6836013793945,.60165417,-.4061658154976995,.7808,.51383561,65,57.099998,63.720001,42,.044916414,75.65937,8.3467503,16.669209,Yes,Yes,.166667,Majoritarian,Presidential,No
93,ZWE,552,Zimbabwe,Africa,1,0,0,1980,3920400,3rd Wave,Coup,9,35.049999,.36678061,35.080002,.36678061,35.25,.36678061,35.209999,.36678061,37.9869499206543,.36678061,-1.536984779332814,.3874,1.215396,78,43.200001,57.77,32,.3359881,48.436592,8.0144844,16.485445,Yes,Yes,.222222,Majoritarian,Presidential,No
